Designator,Type,Value
C76,Capacitor,100n
C77,Capacitor,160p
C78,Capacitor,100n
C79,Capacitor,10n
C80,Capacitor,10n
C81,Capacitor,126n
C82,Capacitor,43p
C83,Capacitor,10n
C84,Capacitor,Unpopulated?
C85,Capacitor,330p
C86,Capacitor,100n
C87,Capacitor,123n
C88,Capacitor,Unpopulated?
C89,Capacitor,10n
C90,Capacitor,Unpopulated?
C91,Capacitor,10n
C92,Capacitor,120n
C93,Capacitor,10n
C94,Capacitor,?
C95,Capacitor,317p
C96,Capacitor,Unpopulated?
C97,Capacitor,44p
C98,Capacitor,Unpopulated?
C99,Capacitor,Unpopulated?
C100,Capacitor,Unpopulated?
C101,Capacitor,Unpopulated?
C102,Capacitor,Unpopulated?
C103,Capacitor,2.5u
C104,Capacitor,Unpopulated?
C105,Resistor,?
C106,Capacitor,Unpopulated?
C107,Capacitor,Unpopulated?
C108,Capacitor,2.5u
SW1,Power switch
CN1,Power connector
CN2,VGA connector
CN3,RJ45 connector with transformers
MOUSE1,PS2 mouse connector
KEY1,PS2 keyboard connector
CN6,Audio connector
CN8,Audio connector (not populated)
CN7,USB connector (not populated)
CN5,2x6 connector,JTAG CPLD
CN4,2x6 connector,GPIO CPLD
LED1,Green LED,Power LED
LED2,Green LED,FPGA controlled LED
LED3,Green LED,FPGA controlled LED
OSC1,80MHz oscillator
U1,Voltage Regulator,1117-ADJ
U2,Ethernet PHY,RTL8201CL
U3,FPGA,EP1C6Q240C8N
U4,CPLD,EPM3128ATC100-10N
U5,SPI Flash,AT45DB041B
U6,SDRAM,IS42S32400D-7TL
U7,Voltage Regulator,1117-3.3
